CO_HEI;HEI;Ownership;STUDENTS;ST_RESEARCH_GRANT;ST_COMPLETING;PUB_SC;PATENTS_UM;ST_DROPOUT;FACULTY;AGE;PHD;MA;PRES;GRAD;RESEARCH;FTE;FTNE;PART;HOUR;TEC;TEC_SUP;TEC_SPEC;TEC_MA;TEC_PHD;PORTAL_CAPES;VIRT_JOURNAL;VIRT_BOOK;VL_RECEITA_PROPRIA;VL_RECEITA_TRANSFERENCIA;VL_RECEITA_OUTRA;VL_RECEITA_TOTAL;VL_DESPESA_PESSOAL_DOCENTE;VL_DESPESA_PESSOAL_TECNICO;VL_DESPESA_PESSOAL_ENCARGO;VL_DESPESA_CUSTEIO;VL_DESPESA_INVESTIMENTO;VL_DESPESA_PESQUISA;VL_DESPESA_OUTRA;VL_DESPESA_TOTAL
997;Centro Universitário de Bauru;Private;2436;0;319;0;0;204;119;49,6;34;58;119;10;58;0;9;63;47;80;21;8;13;6;1;3100;3156;31455025,9;0;178571,59;31633597,49;7047420,14;5742066,71;5625271,25;1973845,03;359258,13;38719,86;2495811,55;23282392,67
1027;UENF;Public;2158;0;243;253;8;368;301;52,7;301;0;298;277;122;298;0;0;0;592;418;45;29;14;1;0;0;178782,37;188373194,3;823425,08;189375401,7;61396894,44;44459820,11;30198423,55;47665791,33;261364,86;2070356,85;3322750,57;189375401,7
1043;UNIARARAS;Private;11745;30;1109;12;0;1350;381;40,1;150;187;350;36;51;0;77;130;158;388;174;35;4;3;1;0;1899;187341200;0;0;187341200;33716996;20072280;8161760;102386070;8660299;1988034;0;174985439
1048;FCE;Private;713;0;42;1;0;94;32;43,2;7;21;30;0;0;0;22;7;3;85;26;6;2;2;1;12;16423;2950000;0;0;2950000;504000;234000;268000;833000;687000;58000;17500;2601500
1063;DOCTUM;Private;342;0;44;0;0;148;26;48,5;8;14;26;0;0;0;1;25;0;13;5;3;3;0;0;426;0;215650621;0;1220914,61;216871535,6;38790606,06;24514522,51;13766709,19;38013251,41;3130164;0;89691158,28;207906411,5
1064;DOCTUM;Private;1984;0;249;0;0;272;55;45,5;10;28;55;0;2;0;0;55;0;14;6;2;0;0;0;426;0;215650621;0;1220914,61;216871535,6;38790606,06;24514522,51;13766709,19;38013251,41;3130164;0;89691158,28;207906411,5
1068;FAMA;Private;1283;0;140;0;0;195;35;39,5;12;23;35;0;7;0;12;23;0;26;12;7;1;0;1;735;4000;4808503,25;0;7413221,71;12221724,96;2130444,84;616965,47;946570,85;715442,04;2397146,75;92327,52;3572284,32;10471181,79
1080;FASE;Private;1512;0;170;0;0;164;326;47,7;97;162;176;7;27;0;79;211;29;234;64;74;5;0;0;685;8611;64485091,28;1004177,11;7120970,55;72610238,94;24741662,02;9621753,56;11641065,37;5799711,04;15923055,93;332883,44;1892205,54;69952336,9
1161;Insper;Private;2699;31;376;62;0;161;148;43,9;114;34;135;34;30;0;81;38;29;297;164;56;14;10;1;49252;9083;218149895,2;0;13548337,01;231698232,2;28399624,5;38165768,5;60609274,37;30134753,8;0;1118917,54;47043525,5;205471864,2
1243;DOCTUM;Private;2212;0;358;0;0;572;68;41,9;10;45;68;0;1;0;2;66;0;50;12;6;7;0;0;426;0;215650621;0;1220914,61;216871535,6;38790606,06;24514522,51;13766709,19;38013251,41;3130164;0;89691158,28;207906411,5
1322;EDUVALE;Private;1889;0;131;0;0;292;120;39,4;33;43;120;0;120;0;11;43;66;54;18;5;1;0;0;1;10;10195610;0;0;10195610;4384112;1325429;2243034;356846;917604;509780;203912;9940717
1379;FAESA;Private;5283;0;861;1;0;1056;171;44,1;31;131;171;0;0;1;87;79;4;67;21;8;3;0;0;32;9556;59379600;0;3941387;63320987;11248377;2144806;8031448;15007849;750000;240000;2241302;39663782
1445;CEUN-IMT;Private;4291;36;695;0;0;385;196;49,1;97;92;195;10;53;0;50;63;82;274;123;17;9;3;1;4077;0;113028393,3;0;115867068,5;228895461,9;24866707,29;16443802,16;22235699,38;53002563,42;21269541,17;126794,29;3443192,21;141388299,9
1494;CENTRO UNIVERSITÁRIO CATÓLICO DE VITÓRIA;Private;4286;62;678;0;0;381;161;42,8;26;103;152;3;41;0;33;69;56;123;22;11;0;0;0;471;41;30662378,16;63087,75;766992,14;31492458,05;11495543,66;3772632,53;3837139,09;5770672,22;404034,01;0;2812191,48;28092212,99
1520;FFIA;Private;143;0;37;0;0;10;17;45,2;14;3;17;10;10;0;3;5;9;72;32;5;0;0;0;58;2700;124900652,4;0;4651453,45;129552105,8;14395161,73;52395947,3;16509517,04;39702849,55;3093384,11;743292,5;385425,65;127225577,9
1558;DOCTUM;Private;1927;0;240;0;0;190;55;39,6;9;34;55;0;9;0;0;55;0;32;7;3;7;5;0;426;0;215650621;0;1220914,61;216871535,6;38790606,06;24514522,51;13766709,19;38013251,41;3130164;0;89691158,28;207906411,5
